No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
1;Telur Ayam;25/12/2018;Jawa Barat;Kota Bekasi;Pasar Kranji;-
2;Telur Ayam;25/12/2018;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;-
3;Telur Ayam;25/12/2018;Jawa Barat;Kota Depok;Pasar Agung;-
4;Telur Ayam;25/12/2018;Jawa Barat;Kota Depok;Pasar Cisalak;-
5;Telur Ayam;25/12/2018;Jawa Barat;Kota Bandung;Pasar Kosambi;-
6;Telur Ayam;25/12/2018;Jawa Barat;Kota Bandung;Pasar Kiara Condong;-
7;Telur Ayam;25/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;-
8;Telur Ayam;25/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;-
9;Telur Ayam;25/12/2018;Jawa Barat;Kota Bogor;Pasar Anyar;-
10;Telur Ayam;25/12/2018;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;-
11;Telur Ayam;25/12/2018;Jawa Barat;Kota Cirebon;Pasar Kanoman;-
12;Telur Ayam;25/12/2018;Jawa Barat;Kota Cirebon;Pasar Kramat;-
13;Telur Ayam;25/12/2018;Jawa Barat;Kota Sukabumi;Pasar Gudang;-
14;Telur Ayam;25/12/2018;Jawa Barat;Kota Sukabumi;Pasar Pelita;-
15;Telur Ayam;25/12/2018;Jawa Barat;Kab. Cirebon;Pasar Weru;-
16;Telur Ayam;25/12/2018;Jawa Barat;Kab. Cirebon;Pasar Mundu;-
17;Telur Ayam;25/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;-
18;Telur Ayam;25/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;-
19;Telur Ayam;26/12/2018;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
20;Telur Ayam;26/12/2018;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26000
21;Telur Ayam;26/12/2018;Jawa Barat;Kota Depok;Pasar Agung;25750
22;Telur Ayam;26/12/2018;Jawa Barat;Kota Depok;Pasar Cisalak;27000
23;Telur Ayam;26/12/2018;Jawa Barat;Kota Bandung;Pasar Kosambi;26500
24;Telur Ayam;26/12/2018;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27000
25;Telur Ayam;26/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25250
26;Telur Ayam;26/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;25000
27;Telur Ayam;26/12/2018;Jawa Barat;Kota Bogor;Pasar Anyar;26500
28;Telur Ayam;26/12/2018;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
29;Telur Ayam;26/12/2018;Jawa Barat;Kota Cirebon;Pasar Kanoman;26750
30;Telur Ayam;26/12/2018;Jawa Barat;Kota Cirebon;Pasar Kramat;27000
31;Telur Ayam;26/12/2018;Jawa Barat;Kota Sukabumi;Pasar Gudang;26500
32;Telur Ayam;26/12/2018;Jawa Barat;Kota Sukabumi;Pasar Pelita;27500
33;Telur Ayam;26/12/2018;Jawa Barat;Kab. Cirebon;Pasar Weru;26750
34;Telur Ayam;26/12/2018;Jawa Barat;Kab. Cirebon;Pasar Mundu;27000
35;Telur Ayam;26/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;25750
36;Telur Ayam;26/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;25500
37;Telur Ayam;27/12/2018;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
38;Telur Ayam;27/12/2018;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26000
39;Telur Ayam;27/12/2018;Jawa Barat;Kota Depok;Pasar Agung;25750
40;Telur Ayam;27/12/2018;Jawa Barat;Kota Depok;Pasar Cisalak;27000
41;Telur Ayam;27/12/2018;Jawa Barat;Kota Bandung;Pasar Kosambi;26500
42;Telur Ayam;27/12/2018;Jawa Barat;Kota Bandung;Pasar Kiara Condong;27000
43;Telur Ayam;27/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;25250
44;Telur Ayam;27/12/2018;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;25250
45;Telur Ayam;27/12/2018;Jawa Barat;Kota Bogor;Pasar Anyar;27000
46;Telur Ayam;27/12/2018;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26500
47;Telur Ayam;27/12/2018;Jawa Barat;Kota Cirebon;Pasar Kanoman;26750
48;Telur Ayam;27/12/2018;Jawa Barat;Kota Cirebon;Pasar Kramat;27000
49;Telur Ayam;27/12/2018;Jawa Barat;Kota Sukabumi;Pasar Gudang;26500
50;Telur Ayam;27/12/2018;Jawa Barat;Kota Sukabumi;Pasar Pelita;27000
51;Telur Ayam;27/12/2018;Jawa Barat;Kab. Cirebon;Pasar Weru;27000
52;Telur Ayam;27/12/2018;Jawa Barat;Kab. Cirebon;Pasar Mundu;27000
53;Telur Ayam;27/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;26000
54;Telur Ayam;27/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;25500
55;Telur Ayam;28/12/2018;Jawa Barat;Kota Bekasi;Pasar Kranji;26000
56;Telur Ayam;28/12/2018;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;26000
57;Telur Ayam;28/12/2018;Jawa Barat;Kota Depok;Pasar Agung;25750
58;Telur Ayam;28/12/2018;Jawa Barat;Kota Depok;Pasar Cisalak;27000
